Date,Slot No.,Alpha_Sensor,Winsen,Temp,RelHum
12/16/2021,SLOT-12,19.6296875,53.79661017,43.165625,26.61875
12/16/2021,SLOT-13,19.67931034,42.34482759,42.93793103,25.9862069
12/16/2021,SLOT-14,19.35216667,49.01666667,37.21666667,30.165
12/16/2021,SLOT-15,17.69525424,42.34482759,36.05762712,31.4779661
12/16/2021,SLOT-16,16.4035,49.01666667,35.47,31.4779661
12/16/2021,SLOT-17,28.92423729,60.66666667,34.9,35.98813559
12/16/2021,SLOT-18,44.45183333,74,34.765,43.97666667
12/16/2021,SLOT-19,57.53983333,81.28333333,33.30166667,50.605
12/16/2021,SLOT-20,63.7715,84.35,32.04333333,53.43833333
12/16/2021,SLOT-21,63.5225,84.18333333,31.62333333,54.14
12/16/2021,SLOT-22,67.2985,84.56666667,31.16666667,55.3
12/16/2021,SLOT-22,67.2985,84.56666667,31.16666667,55.3
12/16/2021,SLOT-24,93.25916667,97.05,30.60833333,58.25666667
12/17/2021,SLOT-1,113.5866102,103.2413793,29.95423729,60.57966102
12/17/2021,SLOT-2,119.586,102.8166667,29.94666667,60.86
12/17/2021,SLOT-3,111.1598333,91.65,29.69166667,61.87833333
12/17/2021,SLOT-4,80.25166667,83.43333333,29.56,58.51166667
12/17/2021,SLOT-5,92.79666667,89.55,28.98833333,59.33333333
12/17/2021,SLOT-6,104.2741667,100.9833333,28.65,59.60833333
12/17/2021,SLOT-7,113.5278333,99.75,28.21,60.68
12/17/2021,SLOT-8,58.49733333,86.76271186,28.315,52.635
12/17/2021,SLOT-9,42.55166667,77.55,31.965,43.34166667
12/17/2021,SLOT-10,35.82783333,69.8,36.865,35.71166667
12/17/2021,SLOT-11,28.41666667,56.73333333,40.06666667,28.85166667
12/17/2021,SLOT-12,24.0455,49.86666667,42.47333333,25.71
12/17/2021,SLOT-13,21.85,44.87755102,45.69491525,21.29661017
12/17/2021,SLOT-14,33.86166667,53.79661017,37.58833333,28.70666667
12/17/2021,SLOT-15,23.85483333,42.34482759,36.69,25.82833333
12/17/2021,SLOT-16,28.12233333,49.01666667,36.78833333,28.43333333
12/17/2021,SLOT-17,27.91661017,45.80701754,35.85254237,29.93050847
12/17/2021,SLOT-18,35.657,61.83333333,33.20666667,39.59333333
12/17/2021,SLOT-19,47.4115,84.2,30.28166667,46.045
12/17/2021,SLOT-20,51.54533333,80.76666667,29.82,50.21833333
12/17/2021,SLOT-21,58.20333333,87.16666667,29.76833333,50.95333333
12/17/2021,SLOT-22,56.988,86.1,30.43333333,49.99833333
12/17/2021,SLOT-22,56.988,86.1,30.43333333,49.99833333
12/17/2021,SLOT-24,62.3645,76.95,28.76333333,55.675
12/18/2021,SLOT-1,55.6540678,69.72881356,28.40677966,54.57457627
12/18/2021,SLOT-2,45.72333333,66.9,28.205,49.835
12/18/2021,SLOT-3,45.04683333,70.18333333,27.72666667,47.985
12/18/2021,SLOT-4,46.08283333,70.48333333,27.49833333,46.95833333
12/18/2021,SLOT-5,47.91216667,72.68333333,27.23,46.40666667
12/18/2021,SLOT-6,49.57866667,72.33898305,26.925,46.51666667
12/18/2021,SLOT-7,52.34216667,72.76666667,26.3,47.91666667
12/18/2021,SLOT-8,48.33483333,71.16666667,26.74,46.34166667
12/18/2021,SLOT-9,39.17666667,63.01666667,30.275,39.18666667
12/18/2021,SLOT-10,33.661,58.53333333,34.93666667,33.63666667
12/18/2021,SLOT-11,27.74241379,54.05084746,40.46206897,26.64827586
12/18/2021,SLOT-12,20.5805,45.15,46.60333333,17.58666667
12/18/2021,SLOT-13,21.80683333,39.93333333,47.56166667,16.165
12/18/2021,SLOT-14,24.0975,43.46666667,39.15,25.14
12/18/2021,SLOT-15,23.177,41.56666667,37.685,26.35666667
12/18/2021,SLOT-16,23.2155,41.48333333,36.6,26.68333333
12/18/2021,SLOT-17,23.72166667,42.56666667,36.06833333,28.305
12/18/2021,SLOT-18,26.5115,46.31666667,35.865,31.835
12/18/2021,SLOT-19,34.31633333,58.48333333,33.28,38.90833333
12/18/2021,SLOT-20,46.09816667,75.55932203,32.08166667,42.98166667
12/18/2021,SLOT-21,50.77283333,76.3,31.34666667,44.57
12/18/2021,SLOT-22,44.64216667,67.51666667,30.13333333,47.77833333
12/18/2021,SLOT-22,44.64216667,67.51666667,30.13333333,47.77833333
12/18/2021,SLOT-24,40.19266667,66.55,28.22,45.99
12/19/2021,SLOT-1,39.75067797,68.52542373,27.6,45.51864407
12/19/2021,SLOT-2,36.67083333,65.48333333,27.46333333,43.14333333
12/19/2021,SLOT-3,38.92583333,71.26666667,27.10666667,43.13166667
12/19/2021,SLOT-4,37.609,72.13559322,26.645,42.05166667
12/19/2021,SLOT-5,40.77583333,73.06666667,25.825,44.63666667
12/19/2021,SLOT-6,38.36766667,69.95,25.66,43.665
12/19/2021,SLOT-7,35.43066667,64.31666667,25.72666667,41.96
12/19/2021,SLOT-8,36.52066667,64.78333333,25.73833333,42.89166667
12/19/2021,SLOT-9,29.10933333,54.23333333,30.18666667,34.665
12/19/2021,SLOT-10,25.4055,48.85,36.055,27.15666667
12/19/2021,SLOT-11,21.5555,46.1,41.72333333,21.42
12/19/2021,SLOT-12,18.561,41.01694915,45.90166667,17.225
12/19/2021,SLOT-13,18.69932203,38.31666667,48.90847458,14.53220339
12/19/2021,SLOT-14,24.47166667,44.76666667,37.18666667,24.49166667
12/19/2021,SLOT-15,23.02116667,43.26666667,37.41166667,24.865
12/19/2021,SLOT-16,21.69316667,41.83333333,37.995,24.71166667
12/19/2021,SLOT-17,20.91466667,39.63333333,37.425,25.58166667
12/19/2021,SLOT-18,35.16433333,60.18333333,35.35666667,37.53666667
12/19/2021,SLOT-19,41.531,69.06779661,32.15333333,44.12666667
12/19/2021,SLOT-20,48.36066667,73.48333333,30.595,47.66666667
12/19/2021,SLOT-21,45.28483333,69.65,30.36166667,48.22833333
12/19/2021,SLOT-22,47.96383333,64.7,29.79333333,49.785
12/19/2021,SLOT-22,47.96383333,64.7,29.79333333,49.785
12/19/2021,SLOT-24,61.58733333,73.73333333,27.59333333,53.83166667
12/20/2021,SLOT-1,42.0015,63.44067797,27.31166667,48.33333333
12/20/2021,SLOT-2,35.41133333,63.46666667,27.33833333,43.40333333
12/20/2021,SLOT-3,39.44366667,75.52542373,26.62666667,43.31666667
12/20/2021,SLOT-4,44.225,86.48333333,26.44166667,42.27
12/20/2021,SLOT-5,43.96416667,87.6,26.17833333,42.1
12/20/2021,SLOT-6,43.33233333,86.83333333,25.97166667,42.02666667
12/20/2021,SLOT-7,43.40316667,88.46666667,25.73833333,42.43333333
12/20/2021,SLOT-8,43.13366667,85.7,26.58833333,41.33666667
12/20/2021,SLOT-9,36.40816667,67.95,30.49833333,35.90666667
12/20/2021,SLOT-10,28.975,51.91666667,35.63333333,29.59666667
12/20/2021,SLOT-11,21.66966667,44.63793103,41.81333333,23.54
12/20/2021,SLOT-12,21.02666667,39.16666667,44.66333333,21.52833333
12/20/2021,SLOT-13,16.74616667,33.36666667,50.18333333,16.575
12/20/2021,SLOT-14,23.19433333,40.26666667,39.46333333,26.64833333
12/20/2021,SLOT-15,23.79533333,39.8,37.06166667,27.215
12/20/2021,SLOT-16,24.42033333,40.3,36.18333333,28.75666667
12/20/2021,SLOT-17,25.8215,43.81666667,34.90166667,30.56333333
12/20/2021,SLOT-18,33.55033333,52.62711864,34.115,40.30333333
12/20/2021,SLOT-19,42.20216667,71.9,31.95333333,44.905
12/20/2021,SLOT-20,47.13066667,76.05,30.97666667,46.41166667
12/20/2021,SLOT-21,48.638,76.61666667,30.44333333,46.78333333
12/20/2021,SLOT-22,53.023,78.86666667,29.88666667,48.03666667
12/20/2021,SLOT-22,53.023,78.86666667,29.88666667,48.03666667
12/20/2021,SLOT-24,68.45766667,78.41666667,28.38666667,54.11
12/21/2021,SLOT-1,58.80372881,66.05084746,28.06949153,53.95932203
12/21/2021,SLOT-2,47.94983333,59.96610169,27.66,51.19166667
12/21/2021,SLOT-3,42.1115,60,27.63666667,47.99
12/21/2021,SLOT-4,48.00683333,66.6,27.16666667,48.285
12/21/2021,SLOT-5,52.36133333,72.06666667,26.74,47.93
12/21/2021,SLOT-6,54.76666667,75.81666667,26.40666667,48.34333333
12/21/2021,SLOT-7,61.70216667,87.21666667,26.25666667,47.97166667
12/21/2021,SLOT-8,58.19366667,84.9,26.71,46.69333333
12/21/2021,SLOT-9,48.89016667,74.18644068,30.05,39.34166667
12/21/2021,SLOT-10,40.12266667,66.71666667,34.7,32.12166667
12/21/2021,SLOT-11,30.97633333,55.31147541,39.545,24.92166667
12/21/2021,SLOT-12,27.5145,46.45,42.87333333,20.16333333
12/21/2021,SLOT-13,24.9245,39.25,43.95333333,17.69
12/21/2021,SLOT-14,27.01783333,42.43333333,35.795,25.21333333
12/21/2021,SLOT-15,24.04983333,40.22033898,34.92166667,25.47
12/21/2021,SLOT-16,35.5525,54.86666667,34.565,30.33166667
12/21/2021,SLOT-17,35.75616667,59.55,36.12833333,36.05833333
12/21/2021,SLOT-18,43.82483333,69.11666667,34.55666667,40.43833333
12/21/2021,SLOT-19,51.14416667,77.5,32.57333333,45.72166667
12/21/2021,SLOT-20,53.15433333,70.13333333,31.055,49.01
12/21/2021,SLOT-21,66.329,78.76666667,30.52,50.89666667
12/21/2021,SLOT-22,66.7585,77.56666667,30.11,51.66666667
12/21/2021,SLOT-22,66.7585,77.56666667,30.11,51.66666667
